,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active,Serious/Critical,Cases/million,Deaths/million,Total Tests,Tests/million
USA,"36,900,441","+8,226","634,717 ",+55,"29,967,093",+772,"6,298,631","16,434","110,762","1,905","547,733,694","1,644,099"
India,"32,076,974","+43,641","429,702 ",+519,"31,252,609","+41,985","394,663","8,944","22,994",308,"485,056,507","347,708"
Brazil,"20,213,388",,"564,890 ",,"19,022,724",,"625,774","8,318","94,353","2,637","55,034,721","256,893"
Russia,"6,512,859","+21,571","167,241 ",+799,"5,808,777","+20,067","536,841","2,300","44,607","1,145","170,100,000","1,165,038"
France,"6,370,429","+30,920","112,410 ",+54,"5,821,154","+21,841","436,865","1,745","97,357","1,718","110,826,475","1,693,727"
UK,"6,146,800","+29,612","130,607 ",+104,"4,721,899","+26,601","1,294,294",874,"90,022","1,913","253,648,715","3,714,787"
Turkey,"5,996,224","+27,356","52,565 ",+128,"5,543,037","+16,363","400,622",543,"70,260",616,"70,670,981","828,084"
Argentina,"5,041,487",,"108,165 ",,"4,691,523",,"241,799","3,652","110,427","2,369","20,301,766","444,682"
Colombia,"4,846,955",,"122,768 ",,"4,662,658",,"61,529","8,155","94,147","2,385","23,113,937","448,965"
Spain,"4,660,473","+17,023","82,320 ",+93,"3,866,276","+11,209","711,877","1,947","99,636","1,760","58,466,967","1,249,966"
Italy,"4,413,162","+6,968","128,304 ",+31,"4,166,095","+4,450","118,763",337,"73,110","2,126","79,749,572","1,321,160"
Iran,"4,281,217","+42,541","95,647 ",+536,"3,618,224","+26,911","567,346","6,932","50,260","1,123","26,790,150","314,507"
Germany,"3,808,232","+4,900","92,330 ",+18,"3,671,800","+2,200","44,102",454,"45,293","1,098","67,658,074","804,681"
Indonesia,"3,749,446","+30,625","112,198 ","+1,579","3,211,078","+39,931","426,170",,"13,549",405,"28,607,363","103,379"
Mexico,"2,997,885","+19,555","245,476 ",+541,"2,360,080","+16,528","392,329","4,798","22,984","1,882","8,842,906","67,798"
Poland,"2,884,557",+198,"75,289 ",+4,"2,654,751",+74,"154,517",44,"76,310","1,992","18,978,511","502,068"
South Africa,"2,554,240","+7,478","75,774 ",+573,"2,337,591","+17,788","140,875",546,"42,475","1,260","15,363,298","255,478"
Ukraine,"2,261,354","+1,122","53,149 ",+25,"2,193,752","+1,160","14,453",177,"52,054","1,223","11,582,812","266,625"
Peru,"2,127,034",,"197,102 ",,N/A,N/A,N/A,"1,645","63,532","5,887","15,898,568","474,875"
Netherlands,"1,892,104","+2,112","17,887 ",+9,"1,719,001","+8,434","155,216",199,"110,154","1,041","16,254,958","946,328"
Iraq,"1,740,933","+8,635","19,402 ",+66,"1,556,855","+9,189","164,676",999,"42,237",471,"13,586,857","329,632"
Philippines,"1,688,040","+12,021","29,374 ",+154,"1,577,267","+9,591","81,399","2,557","15,181",264,"17,359,475","156,120"
Czechia,"1,675,450",+263,"30,371 ",,"1,642,766",+9,"2,313",13,"156,132","2,830","34,060,353","3,174,018"
Chile,"1,625,456",+633,"36,157 ",+19,"1,582,029",+900,"7,270","1,070","84,230","1,874","19,224,194","996,188"
Canada,"1,444,141",+708,"26,687 ",+4,"1,404,564",+362,"12,890",202,"37,896",700,"39,024,434","1,024,041"
Bangladesh,"1,386,742","+10,420","23,398 ",+237,"1,248,075","+13,313","115,269","1,360","8,329",141,"8,256,471","49,587"
Malaysia,"1,320,547","+20,780","11,373 ",+211,"1,075,816","+17,973","233,358","1,053","40,231",346,"19,727,527","601,001"
Belgium,"1,143,127","+1,748","25,279 ",+5,"1,068,432",,"49,416",107,"98,161","2,171","17,750,386","1,524,230"
Sweden,"1,108,057",,"14,621 ",,"1,078,576",+438,"14,860",29,"108,964","1,438","11,448,153","1,125,792"
Romania,"1,085,738",+326,"34,331 ",+8,"1,048,947",+170,"2,460",96,"56,859","1,798","10,833,341","567,329"
Pakistan,"1,080,360","+4,856","24,085 ",+81,"972,098","+5,025","84,177","4,513","4,788",107,"16,616,130","73,644"
